symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2016-01-19 00:00:00+00:00,96.66,98.65,95.5,98.41,53087747,22.4240160277,22.8856732995,22.1549092763,22.8299960406,212350988,0.0,1.0
AAPL,2016-01-20 00:00:00+00:00,96.79,98.1897,93.42,95.1,72334416,22.454174543,22.7788889567,21.6723730324,22.0621138448,289337664,0.0,1.0
AAPL,2016-01-21 00:00:00+00:00,96.3,97.88,94.94,97.06,52161463,22.3405001393,22.7070420939,22.0249956722,22.5168114592,208645852,0.0,1.0
AAPL,2016-01-22 00:00:00+00:00,101.42,101.46,98.37,98.63,65800467,23.5282816628,23.537561206,22.8207164975,22.881033528,263201868,0.0,1.0
AAPL,2016-01-25 00:00:00+00:00,99.44,101.53,99.21,101.52,51794525,23.0689442768,23.5538004065,23.0155869037,23.5514805207,207178100,0.0,1.0
AAPL,2016-01-26 00:00:00+00:00,99.99,100.88,98.07,99.93,75077002,23.1965379951,23.4030078303,22.7511199238,23.1826186804,300308008,0.0,1.0
AAPL,2016-01-27 00:00:00+00:00,93.42,96.6289,93.34,96.04,133369674,21.6723730324,22.4168011829,21.6538139461,22.2801831088,533478696,0.0,1.0
AAPL,2016-01-28 00:00:00+00:00,94.09,94.52,92.39,93.79,55678825,21.8278053802,21.9275604691,21.4334247962,21.7582088065,222715300,0.0,1.0
AAPL,2016-01-29 00:00:00+00:00,97.34,97.34,94.35,94.79,64416504,22.5817682613,22.5817682613,21.8881224107,21.9901973853,257666016,0.0,1.0
AAPL,2016-02-01 00:00:00+00:00,96.43,96.71,95.4,96.47,40943541,22.3706586546,22.4356154567,22.1317104184,22.3799381977,163774164,0.0,1.0
AAPL,2016-02-02 00:00:00+00:00,94.48,96.04,94.28,95.42,37357215,21.9182809259,22.2801831088,21.8718832101,22.13635019,149428860,0.0,1.0
AAPL,2016-02-03 00:00:00+00:00,96.35,96.84,94.08,95.0,45964294,22.3520995683,22.4657739719,21.8254854944,22.0389149869,183857176,0.0,1.0
